color,topic,date1,slug1,link1,presenter1,misc,date2,slug2,link2,presenter2,notes,block
,,,,,,,,,,,,What we want
#ddf3dd,Background,1/21,Introduction,,,,1/23,History of Agents,,,,
#ddf3dd,History,1/28,Use cases,,,,1/30,Use cases,,,,
,,,,,,,,,,,,Where we are
white,Agents and Models,2/4,Agentic Models,,,,2/6,Agent Frameworks,,,,
white,Infrastructure and Users,2/11,Serving,,,,2/13,Human-agent Interaction,,,,
,,,,,,,,,,,,What does it take?
#ddf3dd,Models,2/18,Model design,,,,2/20,Model design,,,,
#ddf3dd,Models,2/25,Training and Simulation,,,,2/27,Planning,,,,
#ddf3dd,Models,3/4,Assessing,,,,3/6,Monitoring,,,,
#ddf3dd,Data,3/11,Branching,,,,3/13,Lineage,,,,
#ddf3dd,Data and Systems,3/25,Lineage ,,,,3/27,Scheduling,,,,
#ddf3dd,Systems,4/1,RAG,,,,4/3,Hardware,,,,
#ddf3dd,Human-agent interaction,4/8,What is the role of interfaces?,,,,4/10,Hand-offs and context,,,,
#ddf3dd,Orchestration,4/15,Scheduling,,,,4/17,Incentives,,,,
#ddf3dd,Security,4/22,Sybil attacks,,,,4/24,Privacy,,,,
,,,,,,,,,,,,Project Presentations
white,Projects,4/29,Presentation,,,,5/1,Presentation,"<a href=""https://w6113.github.io/projects#showcase"">Link to Presentation Guideline</a>",,,
